Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,426,All cancers,1,507,450,571,507,78.0,47.2,7.3
1,C00-06,426,"Lip, oral cavity",1,14,1,206,14,2.2,1.3,0.30
2,C07-08,426,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,426,Oropharynx,1,6,0,88,6,0.92,0.56,0.14
4,C11,426,Nasopharynx,1,1,0,15,1,0.07,0.09,0.01
5,C12-13,426,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,426,Oesophagus,1,56,4,824,56,9.1,5.2,1.0
7,C16,426,Stomach,1,10,1,73,10,1.8,0.93,0.16
41,C18-C21,426,Colorectum,1,33,-,-,33,5.2,3.1,0.52
11,C22,426,Liver and intrahepatic bile ducts,1,32,11,92,32,5.0,3.0,0.41
12,C23,426,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,426,Pancreas,1,13,1,191,13,2.0,1.2,0.25
14,C32,426,Larynx,1,7,0,103,7,1.1,0.65,0.16
15,C33-34,426,"Trachea, bronchus and lung",1,28,11,71,28,4.6,2.6,0.53
16,C43,426,Melanoma of skin,1,3,0,44,3,0.49,0.28,0.05
17,C44,426,Non-melanoma skin cancer,1,11,6,19,11,2.5,1.0,0.07
18,C45,426,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,426,Kaposi sarcoma,1,56,4,824,56,4.7,5.2,0.37
26,C60,426,Penis,1,10,8,13,10,1.5,0.93,0.21
27,C61,426,Prostate,1,103,80,133,103,19.4,9.6,1.5
28,C62,426,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,426,Kidney,1,3,3,3,3,0.49,0.28,0.07
30,C67,426,Bladder,1,5,0,74,5,1.1,0.47,0.06
31,C70-72,426," Brain, central nervous system",1,5,0,74,5,0.65,0.47,0.08
32,C73,426,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,426,Hodgkin lymphoma,1,1,1,1,1,0.09,0.09,0.01
34,C82-86+C88,426,Non-Hodgkin lymphoma,1,20,9,44,20,2.4,1.9,0.24
35,C90,426,Multiple myeloma,1,4,0,59,4,0.53,0.37,0.06
36,C91-95,426,Leukaemia,1,3,1,16,3,0.33,0.28,0.01
