Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,586,All cancers,1,58934,58285,59590,58934,68.8,49.9,7.5
1,C00-06,586,"Lip, oral cavity",1,6816,6620,7018,6816,7.7,5.8,0.89
2,C07-08,586,Salivary glands,1,341,299,389,341,0.39,0.29,0.05
3,C09-10,586,Oropharynx,1,403,369,441,403,0.47,0.34,0.05
4,C11,586,Nasopharynx,1,453,385,533,453,0.46,0.38,0.05
5,C12-13,586,Hypopharynx,1,651,615,690,651,0.75,0.55,0.09
6,C15,586,Oesophagus,1,4497,4221,4791,4497,5.4,3.8,0.62
7,C16,586,Stomach,1,2949,2753,3158,2949,3.5,2.5,0.39
41,C18-C21,586,Colorectum,1,3092,-,-,3092,3.6,2.6,0.40
11,C22,586,Liver and intrahepatic bile ducts,1,3269,3027,3531,3269,4.0,2.8,0.49
12,C23,586,Gallbladder,1,716,622,824,716,0.88,0.61,0.10
13,C25,586,Pancreas,1,790,675,924,790,0.97,0.67,0.12
14,C32,586,Larynx,1,2309,2182,2443,2309,2.9,2.0,0.36
15,C33-34,586,"Trachea, bronchus and lung",1,6635,6336,6948,6635,8.3,5.6,0.95
16,C43,586,Melanoma of skin,1,159,136,186,159,0.19,0.13,0.02
17,C44,586,Non-melanoma skin cancer,1,1478,1412,1547,1478,1.8,1.3,0.18
18,C45,586,Mesothelioma,1,26,9,79,26,0.03,0.02,0.00
19,C46,586,Kaposi sarcoma,1,21,10,44,21,0.02,0.02,0.00
26,C60,586,Penis,1,93,81,107,93,0.11,0.08,0.01
27,C61,586,Prostate,1,2522,2439,2608,2522,3.3,2.1,0.37
28,C62,586,Testis,1,208,200,216,208,0.18,0.18,0.01
29,C64,586,Kidney,1,899,841,961,899,1.1,0.76,0.13
30,C67,586,Bladder,1,2681,2559,2809,2681,3.4,2.3,0.39
31,C70-72,586," Brain, central nervous system",1,2601,2429,2785,2601,2.7,2.2,0.27
32,C73,586,Thyroid,1,300,287,314,300,0.36,0.25,0.05
33,C81,586,Hodgkin lymphoma,1,478,455,502,478,0.45,0.40,0.04
34,C82-86+C88,586,Non-Hodgkin lymphoma,1,2645,2542,2753,2645,2.9,2.2,0.33
35,C90,586,Multiple myeloma,1,814,709,934,814,0.97,0.69,0.12
36,C91-95,586,Leukaemia,1,3099,2957,3248,3099,2.8,2.6,0.23
