Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,642,All cancers,1,32830,32396,33269,32830,179.0,354.8,19.2
1,C00-06,642,"Lip, oral cavity",1,797,721,881,797,4.9,8.6,0.59
2,C07-08,642,Salivary glands,1,56,35,89,56,0.31,0.61,0.04
3,C09-10,642,Oropharynx,1,648,549,765,648,4.1,7.0,0.51
4,C11,642,Nasopharynx,1,153,122,192,153,1.0,1.7,0.12
5,C12-13,642,Hypopharynx,1,447,381,524,447,2.8,4.8,0.36
6,C15,642,Oesophagus,1,589,510,681,589,3.6,6.4,0.45
7,C16,642,Stomach,1,2111,1962,2272,2111,11.1,22.8,1.3
41,C18-C21,642,Colorectum,1,4395,-,-,4395,22.1,47.5,2.6
11,C22,642,Liver and intrahepatic bile ducts,1,2238,2069,2421,2238,12.4,24.2,1.5
12,C23,642,Gallbladder,1,79,56,112,79,0.39,0.85,0.04
13,C25,642,Pancreas,1,1753,1629,1887,1753,9.6,19.0,1.2
14,C32,642,Larynx,1,1023,916,1143,1023,6.0,11.1,0.75
15,C33-34,642,"Trachea, bronchus and lung",1,7743,7445,8053,7743,44.1,83.7,5.5
16,C43,642,Melanoma of skin,1,297,238,370,297,1.6,3.2,0.18
17,C44,642,Non-melanoma skin cancer,1,355,299,421,355,1.7,3.8,0.15
18,C45,642,Mesothelioma,1,31,21,45,31,0.18,0.34,0.02
19,C46,642,Kaposi sarcoma,1,21,13,33,21,0.11,0.23,0.01
26,C60,642,Penis,1,55,42,73,55,0.30,0.59,0.04
27,C61,642,Prostate,1,2854,2652,3071,2854,12.3,30.9,1.2
28,C62,642,Testis,1,45,31,65,45,0.36,0.49,0.03
29,C64,642,Kidney,1,631,555,717,631,3.5,6.8,0.42
30,C67,642,Bladder,1,1467,1316,1636,1467,6.9,15.9,0.77
31,C70-72,642," Brain, central nervous system",1,951,862,1050,951,6.2,10.3,0.69
32,C73,642,Thyroid,1,64,48,85,64,0.33,0.69,0.04
33,C81,642,Hodgkin lymphoma,1,65,41,103,65,0.39,0.70,0.04
34,C82-86+C88,642,Non-Hodgkin lymphoma,1,382,330,442,382,2.4,4.1,0.27
35,C90,642,Multiple myeloma,1,282,223,357,282,1.5,3.1,0.18
36,C91-95,642,Leukaemia,1,784,702,875,784,4.5,8.5,0.47
