Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,703,All cancers,1,8393,8178,8613,8393,166.9,315.7,17.5
1,C00-06,703,"Lip, oral cavity",1,228,166,312,228,5.1,8.6,0.63
2,C07-08,703,Salivary glands,1,14,9,23,14,0.29,0.53,0.03
3,C09-10,703,Oropharynx,1,167,131,213,167,3.8,6.3,0.47
4,C11,703,Nasopharynx,1,9,6,14,9,0.20,0.34,0.03
5,C12-13,703,Hypopharynx,1,158,117,214,158,3.5,5.9,0.44
6,C15,703,Oesophagus,1,256,200,328,256,5.6,9.6,0.70
7,C16,703,Stomach,1,369,313,436,369,7.3,13.9,0.83
41,C18-C21,703,Colorectum,1,1294,-,-,1294,24.9,48.7,2.7
11,C22,703,Liver and intrahepatic bile ducts,1,323,262,399,323,6.4,12.2,0.80
12,C23,703,Gallbladder,1,33,24,45,33,0.63,1.2,0.07
13,C25,703,Pancreas,1,492,419,578,492,10.1,18.5,1.2
14,C32,703,Larynx,1,151,114,200,151,3.2,5.7,0.41
15,C33-34,703,"Trachea, bronchus and lung",1,1597,1445,1765,1597,31.5,60.1,3.9
16,C43,703,Melanoma of skin,1,150,108,208,150,3.0,5.6,0.30
17,C44,703,Non-melanoma skin cancer,1,54,38,76,54,1.0,2.0,0.05
18,C45,703,Mesothelioma,1,11,6,21,11,0.22,0.41,0.03
19,C46,703,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,703,Penis,1,14,8,24,14,0.29,0.53,0.03
27,C61,703,Prostate,1,944,793,1124,944,16.9,35.5,1.6
28,C62,703,Testis,1,32,21,49,32,0.98,1.2,0.08
29,C64,703,Kidney,1,279,232,335,279,5.6,10.5,0.65
30,C67,703,Bladder,1,386,316,472,386,7.1,14.5,0.73
31,C70-72,703," Brain, central nervous system",1,214,173,265,214,5.1,8.1,0.55
32,C73,703,Thyroid,1,15,8,29,15,0.31,0.56,0.04
33,C81,703,Hodgkin lymphoma,1,21,14,33,21,0.46,0.79,0.05
34,C82-86+C88,703,Non-Hodgkin lymphoma,1,161,138,188,161,3.2,6.1,0.37
35,C90,703,Multiple myeloma,1,110,80,151,110,2.1,4.1,0.26
36,C91-95,703,Leukaemia,1,244,177,337,244,5.1,9.2,0.56
