Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,710,All cancers,1,30653,30312,30998,30653,146.3,102.5,13.7
1,C00-06,710,"Lip, oral cavity",1,456,405,514,456,2.0,1.5,0.26
2,C07-08,710,Salivary glands,1,63,52,76,63,0.32,0.21,0.03
3,C09-10,710,Oropharynx,1,165,118,231,165,0.78,0.55,0.09
4,C11,710,Nasopharynx,1,51,51,51,51,0.20,0.17,0.02
5,C12-13,710,Hypopharynx,1,57,53,62,57,0.26,0.19,0.03
6,C15,710,Oesophagus,1,1766,1757,1775,1766,8.2,5.9,0.91
7,C16,710,Stomach,1,896,894,898,896,4.1,3.0,0.44
41,C18-C21,710,Colorectum,1,2269,-,-,2269,10.8,7.6,1.1
11,C22,710,Liver and intrahepatic bile ducts,1,1334,1331,1337,1334,5.8,4.5,0.61
12,C23,710,Gallbladder,1,56,55,57,56,0.25,0.19,0.03
13,C25,710,Pancreas,1,1132,1097,1168,1132,5.3,3.8,0.58
14,C32,710,Larynx,1,418,393,445,418,1.9,1.4,0.23
15,C33-34,710,"Trachea, bronchus and lung",1,5526,5504,5548,5526,25.5,18.5,3.0
16,C43,710,Melanoma of skin,1,411,168,1003,411,2.1,1.4,0.18
17,C44,710,Non-melanoma skin cancer,1,555,411,750,555,2.7,1.9,0.21
18,C45,710,Mesothelioma,1,193,96,386,193,0.96,0.65,0.09
19,C46,710,Kaposi sarcoma,1,414,58,2939,414,1.3,1.4,0.11
26,C60,710,Penis,1,96,66,140,96,0.37,0.32,0.04
27,C61,710,Prostate,1,5411,4391,6669,5411,30.7,18.1,2.5
28,C62,710,Testis,1,17,14,20,17,0.06,0.06,0.01
29,C64,710,Kidney,1,337,326,348,337,1.6,1.1,0.16
30,C67,710,Bladder,1,701,679,724,701,3.8,2.3,0.31
31,C70-72,710," Brain, central nervous system",1,413,406,420,413,1.8,1.4,0.18
32,C73,710,Thyroid,1,62,57,67,62,0.32,0.21,0.03
33,C81,710,Hodgkin lymphoma,1,109,80,148,109,0.39,0.36,0.04
34,C82-86+C88,710,Non-Hodgkin lymphoma,1,1068,966,1181,1068,4.3,3.6,0.40
35,C90,710,Multiple myeloma,1,424,381,472,424,2.0,1.4,0.22
36,C91-95,710,Leukaemia,1,875,826,927,875,4.0,2.9,0.34
