Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,728,All cancers,1,2143,2022,2271,2143,69.8,36.8,7.2
1,C00-06,728,"Lip, oral cavity",1,47,3,691,47,1.5,0.81,0.17
2,C07-08,728,Salivary glands,1,15,1,221,15,0.56,0.26,0.06
3,C09-10,728,Oropharynx,1,8,1,118,8,0.27,0.14,0.04
4,C11,728,Nasopharynx,1,52,4,765,52,1.6,0.89,0.18
5,C12-13,728,Hypopharynx,1,5,2,14,5,0.20,0.09,0.03
6,C15,728,Oesophagus,1,178,12,2619,178,6.2,3.1,0.70
7,C16,728,Stomach,1,114,62,211,114,3.9,2.0,0.43
41,C18-C21,728,Colorectum,1,149,-,-,149,4.8,2.6,0.57
11,C22,728,Liver and intrahepatic bile ducts,1,212,102,442,212,6.4,3.6,0.70
12,C23,728,Gallbladder,1,9,6,14,9,0.35,0.15,0.04
13,C25,728,Pancreas,1,50,12,201,50,1.8,0.86,0.19
14,C32,728,Larynx,1,39,3,574,39,1.4,0.67,0.18
15,C33-34,728,"Trachea, bronchus and lung",1,65,22,190,65,2.2,1.1,0.28
16,C43,728,Melanoma of skin,1,12,7,21,12,0.48,0.21,0.04
17,C44,728,Non-melanoma skin cancer,1,34,2,500,34,1.2,0.58,0.15
18,C45,728,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,728,Kaposi sarcoma,1,67,5,986,67,1.7,1.2,0.18
26,C60,728,Penis,1,13,1,191,13,0.40,0.22,0.03
27,C61,728,Prostate,1,367,319,422,367,14.2,6.3,1.3
28,C62,728,Testis,1,8,1,118,8,0.23,0.14,0.03
29,C64,728,Kidney,1,46,9,243,46,1.3,0.79,0.13
30,C67,728,Bladder,1,43,3,633,43,1.5,0.74,0.16
31,C70-72,728," Brain, central nervous system",1,42,3,618,42,1.1,0.72,0.11
32,C73,728,Thyroid,1,12,1,113,12,0.46,0.21,0.05
33,C81,728,Hodgkin lymphoma,1,15,1,221,15,0.23,0.26,0.01
34,C82-86+C88,728,Non-Hodgkin lymphoma,1,116,23,597,116,3.3,2.0,0.36
35,C90,728,Multiple myeloma,1,32,14,73,32,1.1,0.55,0.13
36,C91-95,728,Leukaemia,1,43,33,55,43,1.1,0.74,0.12
