Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,760,All cancers,1,7217,6987,7454,7217,103.7,74.6,10.5
1,C00-06,760,"Lip, oral cavity",1,73,5,1142,73,1.0,0.75,0.13
2,C07-08,760,Salivary glands,1,28,2,438,28,0.40,0.29,0.05
3,C09-10,760,Oropharynx,1,6,0,94,6,0.09,0.06,0.01
4,C11,760,Nasopharynx,1,52,32,85,52,0.65,0.54,0.04
5,C12-13,760,Hypopharynx,1,4,0,63,4,0.06,0.04,0.01
6,C15,760,Oesophagus,1,57,37,89,57,0.81,0.59,0.08
7,C16,760,Stomach,1,398,335,472,398,5.7,4.1,0.61
41,C18-C21,760,Colorectum,1,481,-,-,481,6.8,5.0,0.79
11,C22,760,Liver and intrahepatic bile ducts,1,205,158,266,205,3.0,2.1,0.31
12,C23,760,Gallbladder,1,50,31,81,50,0.77,0.52,0.06
13,C25,760,Pancreas,1,357,296,431,357,5.3,3.7,0.60
14,C32,760,Larynx,1,217,171,275,217,3.2,2.2,0.40
15,C33-34,760,"Trachea, bronchus and lung",1,1866,1718,2027,1866,27.4,19.3,3.2
16,C43,760,Melanoma of skin,1,17,8,38,17,0.29,0.18,0.01
17,C44,760,Non-melanoma skin cancer,1,140,9,2189,140,2.2,1.5,0.17
18,C45,760,Mesothelioma,1,22,1,344,22,0.33,0.23,0.05
19,C46,760,Kaposi sarcoma,1,7,0,109,7,0.09,0.07,0.01
26,C60,760,Penis,1,3,0,47,3,0.05,0.03,0.01
27,C61,760,Prostate,1,529,464,603,529,8.4,5.5,0.62
28,C62,760,Testis,1,52,3,813,52,0.50,0.54,0.04
29,C64,760,Kidney,1,139,97,199,139,2.0,1.4,0.23
30,C67,760,Bladder,1,330,265,410,330,5.0,3.4,0.54
31,C70-72,760," Brain, central nervous system",1,499,423,589,499,6.6,5.2,0.68
32,C73,760,Thyroid,1,64,4,1001,64,0.89,0.66,0.11
33,C81,760,Hodgkin lymphoma,1,62,35,109,62,0.84,0.64,0.09
34,C82-86+C88,760,Non-Hodgkin lymphoma,1,296,234,375,296,3.8,3.1,0.33
35,C90,760,Multiple myeloma,1,185,12,2893,185,2.7,1.9,0.36
36,C91-95,760,Leukaemia,1,537,458,629,537,7.0,5.6,0.69
