Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,834,All cancers,1,12796,12495,13104,12796,97.2,40.4,9.9
1,C00-06,834,"Lip, oral cavity",1,306,185,505,306,2.9,0.97,0.28
2,C07-08,834,Salivary glands,1,78,51,120,78,0.68,0.25,0.07
3,C09-10,834,Oropharynx,1,47,26,85,47,0.35,0.15,0.05
4,C11,834,Nasopharynx,1,131,84,204,131,0.92,0.41,0.10
5,C12-13,834,Hypopharynx,1,123,44,346,123,1.1,0.39,0.12
6,C15,834,Oesophagus,1,2350,2017,2739,2350,17.6,7.4,2.0
7,C16,834,Stomach,1,686,528,892,686,5.3,2.2,0.67
41,C18-C21,834,Colorectum,1,684,-,-,684,5.0,2.2,0.52
11,C22,834,Liver and intrahepatic bile ducts,1,653,541,788,653,4.1,2.1,0.45
12,C23,834,Gallbladder,1,53,11,267,53,0.45,0.17,0.05
13,C25,834,Pancreas,1,302,174,523,302,2.4,0.95,0.28
14,C32,834,Larynx,1,154,113,211,154,1.5,0.49,0.15
15,C33-34,834,"Trachea, bronchus and lung",1,359,234,551,359,2.5,1.1,0.30
16,C43,834,Melanoma of skin,1,40,31,52,40,0.29,0.13,0.03
17,C44,834,Non-melanoma skin cancer,1,94,83,106,94,0.73,0.30,0.08
18,C45,834,Mesothelioma,1,19,4,98,19,0.13,0.06,0.02
19,C46,834,Kaposi sarcoma,1,538,464,624,538,2.9,1.7,0.31
26,C60,834,Penis,1,68,49,95,68,0.59,0.21,0.06
27,C61,834,Prostate,1,2808,2614,3016,2808,28.1,8.9,2.7
28,C62,834,Testis,1,9,8,11,9,0.06,0.03,0.01
29,C64,834,Kidney,1,234,179,305,234,1.1,0.74,0.11
30,C67,834,Bladder,1,325,268,395,325,2.8,1.0,0.30
31,C70-72,834," Brain, central nervous system",1,94,37,239,94,0.47,0.30,0.05
32,C73,834,Thyroid,1,46,35,60,46,0.46,0.15,0.04
33,C81,834,Hodgkin lymphoma,1,108,80,146,108,0.77,0.34,0.07
34,C82-86+C88,834,Non-Hodgkin lymphoma,1,428,363,505,428,2.4,1.4,0.26
35,C90,834,Multiple myeloma,1,84,19,367,84,0.64,0.27,0.08
36,C91-95,834,Leukaemia,1,313,224,437,313,1.8,0.99,0.19
