Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,894,All cancers,1,4121,3952,4297,4121,110.7,42.7,10.9
1,C00-06,894,"Lip, oral cavity",1,44,33,58,44,1.4,0.46,0.15
2,C07-08,894,Salivary glands,1,24,13,44,24,0.90,0.25,0.10
3,C09-10,894,Oropharynx,1,10,4,24,10,0.29,0.10,0.03
4,C11,894,Nasopharynx,1,21,9,51,21,0.58,0.22,0.07
5,C12-13,894,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,894,Oesophagus,1,296,234,374,296,8.6,3.1,1.0
7,C16,894,Stomach,1,114,84,155,114,3.6,1.2,0.39
41,C18-C21,894,Colorectum,1,161,-,-,161,4.9,1.7,0.53
11,C22,894,Liver and intrahepatic bile ducts,1,240,186,310,240,6.1,2.5,0.67
12,C23,894,Gallbladder,1,8,1,48,8,0.27,0.08,0.04
13,C25,894,Pancreas,1,58,32,105,58,1.7,0.60,0.19
14,C32,894,Larynx,1,42,30,58,42,1.2,0.44,0.16
15,C33-34,894,"Trachea, bronchus and lung",1,116,81,166,116,4.3,1.2,0.45
16,C43,894,Melanoma of skin,1,9,5,16,9,0.19,0.09,0.02
17,C44,894,Non-melanoma skin cancer,1,44,39,50,44,1.4,0.46,0.15
18,C45,894,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,894,Kaposi sarcoma,1,935,857,1020,935,12.4,9.7,1.1
26,C60,894,Penis,1,67,55,82,67,1.6,0.69,0.19
27,C61,894,Prostate,1,863,811,918,863,37.6,9.0,3.7
28,C62,894,Testis,1,3,2,4,3,0.06,0.03,0.01
29,C64,894,Kidney,1,31,18,52,31,0.46,0.32,0.05
30,C67,894,Bladder,1,73,61,87,73,2.7,0.76,0.28
31,C70-72,894," Brain, central nervous system",1,88,61,126,88,1.9,0.91,0.21
32,C73,894,Thyroid,1,8,4,14,8,0.39,0.08,0.03
33,C81,894,Hodgkin lymphoma,1,22,18,27,22,0.29,0.23,0.03
34,C82-86+C88,894,Non-Hodgkin lymphoma,1,129,104,160,129,3.2,1.3,0.36
35,C90,894,Multiple myeloma,1,4,1,19,4,0.07,0.04,0.01
36,C91-95,894,Leukaemia,1,96,74,124,96,1.5,1.0,0.13
