IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UV_1,UV radiation,text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2004,true,,,,,,,,,,,,,,,,,,,10224,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,NOR,Norway,Year,2004,true,,,,,,,,,,,,,,,,,,,1439,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,FIN,Finland,Year,2004,true,,,,,,,,,,,,,,,,,,,1494,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,IRL,Ireland,Year,2004,true,,,,,,,,,,,,,,,,,,,1509,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2004,true,,,,,,,,,,,,,,,,,,,1576,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,SWE,Sweden,Year,2004,true,,,,,,,,,,,,,,,,,,,1587,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,BEL,Belgium,Year,2004,true,,,,,,,,,,,,,,,,,,,1645,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,NLD,Netherlands (Kingdom of the),Year,2004,true,,,,,,,,,,,,,,,,,,,1662,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,LVA,Latvia,Year,2004,true,,,,,,,,,,,,,,,,,,,1671,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,LUX,Luxembourg,Year,2004,true,,,,,,,,,,,,,,,,,,,1687,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,DNK,Denmark,Year,2004,true,,,,,,,,,,,,,,,,,,,1691,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,CZE,Czechia,Year,2004,true,,,,,,,,,,,,,,,,,,,1707,,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,text,EUR,Europe,Country,POL,Poland,Year,2004,true,,,,,,,,,,,,,,,,,,,1749,,,EN,2013-06-10T22:00:00.000Z
